code,id_g2a,name,name_g2a,locality,station
,3120,"Hôtel Le Labrador","HOTEL LE LABRADOR","Les Praz -  Chamonix-Mont-Blanc","LES GETS"
,3744,"Hôtel Richemond","HOTEL RICHEMOND","Chamonix City Centre -  Chamonix-Mont-Blanc","VALLEE DE CHAMONIX"
,7484,"Hotel le Petit Dru","HOTEL LE PETIT DRU",Morzine,MORZINE
,7257,"Hôtel La Chaumière","HOTEL LA CHAUMIERE",Morzine,
,,"Hôtel de la Roche","HOTEL DE LA ROCHE",Beaufort,
,896,"Hotel Adret","HOTEL ADRET","Les Deux Alpes","LES DEUX ALPES"
,,"La Croix de Savoie  and  Spa","LA CROIX DE SAVOIE  AND  SPA","Les Carroz d'Arâches",
,,"Le Taconet","LE TACONET","Praz de Lys - Sommand",
,,"Chamois d'Or Hotel","CHAMOIS D'OR HOTEL","Les Gets",
,,"Hôtel Le Labrador 1971","HOTEL LE LABRADOR 1971","Les Gets",
,,Bellevue,BELLEVUE,"Les Gets",
,,"Hotel Le Christiania","HOTEL LE CHRISTIANIA","Les Gets",
,,"Loc'Hotel Alpen Sports","LOC'HOTEL ALPEN SPORTS","Les Gets",
,,"Le Lodge Chasse Montagne","LE LODGE CHASSE MONTAGNE","Les Gets",
,,"Accueil Savoyard","ACCUEIL SAVOYARD",Mieussy,
,,"Hotel Le Tremplin","HOTEL LE TREMPLIN",Morzine,
,7497,"Hotel L'Equipe","HOTEL L'EQUIPE",Morzine,"VALLEE DE L'UBAYE"
,,"Hotel Rhodos Morzine","HOTEL RHODOS MORZINE",Morzine,
,,"Hôtel Igloo","HOTEL IGLOO",Morzine,
,,"Chalet Hôtel VACCAPARK","CHALET HOTEL VACCAPARK",Mieussy,
,7512,"Hotel Le Concorde","HOTEL LE CONCORDE",Morzine,MORZINE
,,"Hôtel Névé","HOTEL NEVE",Morzine,
,,"The Nant","THE NANT",Morzine,
,,"Savoy Morzine","SAVOY MORZINE",Morzine,
,,"Hôtel Chalet Flo","HOTEL CHALET FLO",Morzine,
,,"Fontaine du Mont Blanc Hotel  and  Spa","FONTAINE DU MONT BLANC HOTEL  AND  SPA","Les Houches",
,,"Hôtel des Dromonts by SOWELL COLLECTION","HOTEL DES DROMONTS BY SOWELL COLLECTION",Avoriaz,
,,L'Alpage,L'ALPAGE,"Le Grand-Bornand",
,,"Hôtel MiL8","HOTEL MIL8",Avoriaz,
,,"Hôtel Plein Ciel","HOTEL PLEIN CIEL",Champéry,
,,"Guest House du Grand Paradis","GUEST HOUSE DU GRAND PARADIS",Champéry,
,,"Les Campanules","LES CAMPANULES","Les Houches",
,,"Le Saint Antoine","LE SAINT ANTOINE","Les Houches",
,,"Hotel L'Etable","HOTEL L'ETABLE","Les Crosets",
,,"RockyPop Chamonix - Les Houches","ROCKYPOP CHAMONIX - LES HOUCHES","Les Houches",
,,"Alpina Eclectic Hotel","ALPINA ECLECTIC HOTEL","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Park Hotel Suisse  and  Spa","PARK HOTEL SUISSE  AND  SPA","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Hotel Le Morgane","HOTEL LE MORGANE","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Vert Lodge Chamonix","VERT LODGE CHAMONIX",Chamonix-Mont-Blanc,
,,"Hôtel de L'Arve","HOTEL DE L'ARVE","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Chalet-Hôtel Hermitage","CHALET-HOTEL HERMITAGE","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Langley Hotel Gustavia","LANGLEY HOTEL GUSTAVIA","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Mercure Chamonix Centre","MERCURE CHAMONIX CENTRE","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Pointe Isabelle","POINTE ISABELLE","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Le Faucigny - Hotel de Charme","LE FAUCIGNY - HOTEL DE CHARME","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Chalet Hôtel Le Prieuré  and  Spa","CHALET HOTEL LE PRIEURE  AND  SPA","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"La Croix Blanche","LA CROIX BLANCHE","Chamonix City Centre -  Chamonix-Mont-Blanc",
,3738,"Hotel Le Chamonix","HOTEL LE CHAMONIX","Chamonix City Centre -  Chamonix-Mont-Blanc","VALLEE DE CHAMONIX"
,,"Les Gourmets - Chalet Hotel","LES GOURMETS - CHALET HOTEL","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Auberge du Manoir","AUBERGE DU MANOIR","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Mont Blanc Hotel","MONT BLANC HOTEL","Saint Pierre en Faucigny",
,3731,"Hotel Le Castel","HOTEL LE CASTEL","Les Praz -  Chamonix-Mont-Blanc",TESTSTATION
,,"Hotel Suisse","HOTEL SUISSE",Champéry,
,,"Auberge du Bois Prin","AUBERGE DU BOIS PRIN","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Hotel-Restaurant le Relais Panoramique","HOTEL-RESTAURANT LE RELAIS PANORAMIQUE","Les Crosets",
,,"Heliopic Hotel  and  Spa","HELIOPIC HOTEL  AND  SPA","Chamonix City Centre -  Chamonix-Mont-Blanc",
,,"Hôtel Le White - Le 42 Restaurant","HOTEL LE WHITE - LE 42 RESTAURANT",Champéry,
,,"Hôtel Le Jeu de Paume","HOTEL LE JEU DE PAUME","Le Lavancher -  Chamonix-Mont-Blanc",
,,"Chez Gaby 1670","CHEZ GABY 1670",Champoussin,
,,"Hotel Les Flocons","HOTEL LES FLOCONS","Les Deux Alpes",
,,"Langley Hôtel Le Petit Prince","LANGLEY HOTEL LE PETIT PRINCE",L'Alpe-d'Huez,
,,"Hotel Le Refuge","HOTEL LE REFUGE",L'Alpe-d'Huez,
,922,"Hôtel Serre Palas","HOTEL SERRE PALAS","Les Deux Alpes","LES DEUX ALPES"
,,"hôtel oberland","HOTEL OBERLAND","Le Bourg-dʼOisans",
,,"Le Pic Blanc","LE PIC BLANC",L'Alpe-d'Huez,
,,"Le Castillan","LE CASTILLAN",L'Alpe-d'Huez,
,911,"Hotel Le Cairn","HOTEL LE CAIRN","Les Deux Alpes","LES DEUX ALPES"
,946,"Hotel le Sherpa","HOTEL LE SHERPA","Les Deux Alpes","VAL THORENS"
,,"Auberge La Cure","AUBERGE LA CURE",Oz,
,917,"Hotel Les Lutins","HOTEL LES LUTINS","Les Deux Alpes","LES DEUX ALPES"
,,Alp'azur,ALP'AZUR,L'Alpe-d'Huez,
,,"Chalet Le Panoramique","CHALET LE PANORAMIQUE",Mizoën,
,,"Doume's Lodge","DOUME'S LODGE","Les Deux Alpes",
,902,"Hotel Cote Brune","HOTEL COTE BRUNE","Les Deux Alpes","LES DEUX ALPES"
,751,"Hôtel Les Servages d'Armelle","HOTEL LES SERVAGES D'ARMELLE","Les Carroz d'Arâches","LES CARROZ"
