code,id_g2a,name,name_g2a,locality,station
166660,,"Maison de Vacances Gruissan","MAISON DE VACANCES GRUISSAN",Gruissan,
364314,,"Résidence Rochail","RESIDENCE ROCHAIL","Les 2 Alpes",
784504,,"2 pièces - 2 à Aix Les Bains 51","2 PIECES - 2 A AIX LES BAINS 51","Aix Les Bains",
416264,,"Résidence Nova 2","RESIDENCE NOVA 2","Arc 1800",
,,"Boutique hôtel Maria-Christina","BOUTIQUE HOTEL MARIA-CHRISTINA",Saint-Jean-de-Luz,
776464,,"Résidence Voile Des Neiges C","RESIDENCE VOILE DES NEIGES C","Pra Loup",
438754,,"LE CHALET - Piscine 6","LE CHALET - PISCINE 6",Gourette,
414614,,"Résidence Chardons","RESIDENCE CHARDONS","Arc 1800",
376214,,"Résidence Le Cortinaire-le Grand Bornand","RESIDENCE LE CORTINAIRE-LE GRAND BORNAND","Le Grand-Bornand",
,,"Le Gamaritz","LE GAMARITZ","Centre de Biarritz -  Biarritz",
,,"Hôtel Arcé","HOTEL ARCE",Saint-Étienne-de-Baïgorry,
,,"Hotel Alaïa","HOTEL ALAIA",Ascain,
81202,2322,"Résidence Le Parc aux Etoiles","RESIDENCE LE PARC AUX ETOILES",Puy-Saint-Vincent,"LES ECRINS"
,2608,"Hôtel Le Chalet","HOTEL LE CHALET",Ax-les-Thermes,
1054594,4823,"Résidence La Muzelle","RESIDENCE LA MUZELLE","Les 2 Alpes","LES DEUX ALPES"
,,"Hôtel Saint James","HOTEL SAINT JAMES","Centre de Biarritz -  Biarritz",
,,"Hôtel Le Trinquet","HOTEL LE TRINQUET",Louhossoa,
850704,,"Résidence Berangere","RESIDENCE BERANGERE","Les Contamines Montjoie",
206951,,"Résidence Garden  and  City Cauterets Balnéo","RESIDENCE GARDEN  AND  CITY CAUTERETS BALNEO",Cauterets,
,,"Ecole Olargues","ECOLE OLARGUES",Olargues,
,,"Hôtel Bellevue Cap d'Agde","HOTEL BELLEVUE CAP D'AGDE","Le Cap d'Agde",
935314,,"Résidence Les Silènes","RESIDENCE LES SILENES",Allevard-les-Bains,
595464,,"Résidence Baie Des Anges","RESIDENCE BAIE DES ANGES","Saint Cyprien - Pyrénées Orientales",
520584,,"Résidence Sud","RESIDENCE SUD","Les 2 Alpes",
869684,,"Chalet Piganiol-puy-saint-vincent 1400","CHALET PIGANIOL-PUY-SAINT-VINCENT 1400",Puy-Saint-Vincent,
277274,,"Résidence Les Colverts","RESIDENCE LES COLVERTS","Aix Les Bains",
52386,,"Résidence Les Jardins Alpins","RESIDENCE LES JARDINS ALPINS","Saint-Gervais Mont-Blanc",
,,"Hôtel Euzkadi","HOTEL EUZKADI",Espelette,
677894,,"Résidence Les Capounades","RESIDENCE LES CAPOUNADES","Narbonne Plage",
187747,,"Résidence Orciere","RESIDENCE ORCIERE","Val Thorens",
548504,,"Résidence Robinson Sud","RESIDENCE ROBINSON SUD","Marseillan Plage",
88379,,"Résidence Deneb","RESIDENCE DENEB",Risoul,
739694,,"Résidence Grand Horizon Ii","RESIDENCE GRAND HORIZON II",Morillon,
192921,,"Les Chalets D'arrondaz","LES CHALETS D'ARRONDAZ",Valfréjus,
29299,,"Village Club du Soleil - Superbagnères","VILLAGE CLUB DU SOLEIL - SUPERBAGNERES","Luchon - Superbagnères",
92263,,"Résidence Prestige Odalys Nakâra","RESIDENCE PRESTIGE ODALYS NAKARA","Cap d'Agde",
789524,,"Résidence LA ROCHETTE","RESIDENCE LA ROCHETTE","La Plagne - Montchavin",
277224,,"Résidence Le Cheverny","RESIDENCE LE CHEVERNY","Aix Les Bains",
29520,,"SOWELL RÉSIDENCES New Chastillon","SOWELL RESIDENCES NEW CHASTILLON","Isola 2000",
277024,,"Résidence L'elvire","RESIDENCE L'ELVIRE","Aix Les Bains",
772644,,"Résidence Grand Tichot A","RESIDENCE GRAND TICHOT A","Tignes - Val Claret",
,,"Le Charvet","LE CHARVET",Cordon,
207415,,"Résidence Pollux","RESIDENCE POLLUX",Flaine,
499534,,"Résidence Balcons Des Pistes","RESIDENCE BALCONS DES PISTES","Les 2 Alpes",
525864,,"Résidence Le Lustou B","RESIDENCE LE LUSTOU B",Saint-Lary-Soulan,
405374,,"Résidence Beausejour","RESIDENCE BEAUSEJOUR",Châtel,
749724,,"Résidence Christian 1er Droite","RESIDENCE CHRISTIAN 1ER DROITE","Le Grau-du-Roi",
121176,,"L'Aiguille - maeva Home","L'AIGUILLE - MAEVA HOME",Chamonix,
191675,,"Résidence Cachette","RESIDENCE CACHETTE","Arc 1600",
673694,,"Résidence Les Balcons De La Mediterranee I","RESIDENCE LES BALCONS DE LA MEDITERRANEE I","Narbonne Plage",
530334,,"Résidence Vermeil E7","RESIDENCE VERMEIL E7","Isola 2000",
135711,1193,"Résidence Les Logis d'Orres","RESIDENCE LES LOGIS D'ORRES","Les Orres","LES ORRES"
718634,,"Appart'Hôtel Prestige Odalys L'Eclose","APPART'HOTEL PRESTIGE ODALYS L'ECLOSE","Alpe d'Huez",
378054,,"Résidence Pied De L'adroit","RESIDENCE PIED DE L'ADROIT","Les Gets",
591554,,"Résidence Villa Chantoiseau","RESIDENCE VILLA CHANTOISEAU","Les Issambres",
235564,,"Résidence Les Patios 1","RESIDENCE LES PATIOS 1","Port Leucate",
595624,,"Résidence 6radi8-saint Cyprien Plage","RESIDENCE 6RADI8-SAINT CYPRIEN PLAGE","Saint Cyprien - Pyrénées Orientales",
613894,,"Résidence ""le Chabian""","RESIDENCE ""LE CHABIAN""","Le Grau-du-Roi",
414914,,"Résidence Alpages Du Chantel","RESIDENCE ALPAGES DU CHANTEL","Arc 1800",
157693,,"Résidence Odalys Les Belles Roches","RESIDENCE ODALYS LES BELLES ROCHES",Notre-Dame-de-Bellecombe,
596734,,"Résidence Rue De L'egalité","RESIDENCE RUE DE L'EGALITE",Collioure,
152092,,"Résidence Planchamp et Mottet - maeva Home","RESIDENCE PLANCHAMP ET MOTTET - MAEVA HOME",Valmorel,
364534,,"Résidence Diamant I","RESIDENCE DIAMANT I","Les 2 Alpes",
419234,,"Résidence Les Marmottes Bleues","RESIDENCE LES MARMOTTES BLEUES","Pra Loup",
107332,,"Résidence La Boédette","RESIDENCE LA BOEDETTE","Les Ménuires",
239574,,"Chalet Le Tatihou","CHALET LE TATIHOU",Valloire,
922354,,"Résidence La Verdache","RESIDENCE LA VERDACHE",Notre-Dame-de-Bellecombe,
193154,,"Résidence Les Airelles","RESIDENCE LES AIRELLES","La Norma",
253044,,"Chalet Le Buset","CHALET LE BUSET","Crest Voland",
187389,,"Résidence Les Hauts de Biarritz","RESIDENCE LES HAUTS DE BIARRITZ",Biarritz,
548664,,"Résidence Téthys (rés.)","RESIDENCE TETHYS (RES.)","Marseillan Plage",
160516,,"Résidence Candide","RESIDENCE CANDIDE","Méribel - Mottaret",
589954,,"Résidence Les Dauphins","RESIDENCE LES DAUPHINS",Sainte-Maxime,
,5128,"Hotel Bellevue","HOTEL BELLEVUE",Hendaye,"LES GETS"
564274,,"Résidence Biolley","RESIDENCE BIOLLEY",Saint-Martin-de-Belleville,
,,"Hotel Novel Restaurant La Mamma","HOTEL NOVEL RESTAURANT LA MAMMA",Annecy,
,,"Allobroges Park Hôtel","ALLOBROGES PARK HOTEL","Centre-ville d'Annecy -  Annecy",
908144,1092,"Résidence La Grande Ourse","RESIDENCE LA GRANDE OURSE","Les Angles - Pyrénées Orientales","PEISEY VALLANDRY"
160678,,"LES HAMEAUX II","LES HAMEAUX II","La Plagne - Plagne Villages / Plagne Soleil",
160885,,"ROCHE COMBE G","ROCHE COMBE G",Valmorel,
596494,,"Résidence Rue Lamartine","RESIDENCE RUE LAMARTINE",Collioure,
360094,,"Résidence Les Jonquieres","RESIDENCE LES JONQUIERES",Gassin,
448764,,"Les Chalets De Superd Chardon Bleu","LES CHALETS DE SUPERD CHARDON BLEU",SuperDévoluy,
585254,,"Résidence L'hippocampe","RESIDENCE L'HIPPOCAMPE","Le Barcarès",
143318,,"Camping Paradis La Marmotte","CAMPING PARADIS LA MARMOTTE",Ax-Les-Thermes,
51850,,"Résidence Les Olympiques","RESIDENCE LES OLYMPIQUES","Tignes - Les Boisses",
207417,,"Résidence Vega","RESIDENCE VEGA",Flaine,
92840,,"Résidence Lagrange Les Chalets du Mont Blanc","RESIDENCE LAGRANGE LES CHALETS DU MONT BLANC","Les Saisies - Hauteluce",
214874,,"Résidence Prarion 1","RESIDENCE PRARION 1","Chamonix - Les Houches",
749684,,"Résidence Glaciers","RESIDENCE GLACIERS","Les 7 Laux - Le Pleynet",
566944,,"Résidence Cottepens B","RESIDENCE COTTEPENS B","Les 7 Laux - Prapoutel",
962274,,"Résidence Grand Pre","RESIDENCE GRAND PRE","Tignes - Le Lac / Le Lavachet",
613474,,"Résidence ""le Mathilde""","RESIDENCE ""LE MATHILDE""","Le Grau-du-Roi",
836934,,"Chalets De Juliette","CHALETS DE JULIETTE",Châtel,
416344,,"Résidence Tournavelles 2","RESIDENCE TOURNAVELLES 2","Arc 1800",
875084,,"Residence L'unik","RESIDENCE L'UNIK","Brison St Innocent",
438964,,"Résidence CHRISTIANIA","RESIDENCE CHRISTIANIA",Gourette,
362304,,"Grand Chalet","GRAND CHALET",Brides-les-Bains,
204614,,"Chalets De La Vanoise","CHALETS DE LA VANOISE","La Norma",
829864,,"Camping Le Castellas","CAMPING LE CASTELLAS",Sète,
505384,,"Résidence Pistes","RESIDENCE PISTES","Le Corbier",
,,"Hotel Alhambra","HOTEL ALHAMBRA","Le Cap d'Agde",
815954,,"Chalet Des Vignes","CHALET DES VIGNES",Brides-les-Bains,
1020784,,"Résidence Le Nirvana","RESIDENCE LE NIRVANA",Port-Camargue,
498294,,"Résidence Pluton","RESIDENCE PLUTON","Les 2 Alpes",
927334,,"Résidence Lupins","RESIDENCE LUPINS",Saint-Martin-de-Belleville,
,,"Hôtel Bel Azur","HOTEL BEL AZUR",Six-Fours-les-Plages,
,,"Le Suffren Hôtel","LE SUFFREN HOTEL","Port Grimaud -  Grimaud",
,,"Lou Cigaloun","LOU CIGALOUN","Saint Antonin du Var",
1053994,,"Chalet Sarazin","CHALET SARAZIN","Crest Voland",
52345,,"Résidence Sapin B","RESIDENCE SAPIN B",Megève,
193460,,"Résidence Le Lac","RESIDENCE LE LAC","Tignes - Le Lac / Le Lavachet",
825384,,"Résidence Gentiane","RESIDENCE GENTIANE","Arêches Beaufort",
442894,,"Domaine Adonis du Lambon","DOMAINE ADONIS DU LAMBON","Prailles-La Couarde",
703454,,"Résidence Les Melezes Bat B","RESIDENCE LES MELEZES BAT B",Barcelonnette,
57969,,"Chalet Odalys Mélusine","CHALET ODALYS MELUSINE","Alpe d'Huez",
31380,,"Chalet Côte Arbet","CHALET COTE ARBET",Champagny-en-Vanoise,
804984,,"Résidence Cheval Blanc","RESIDENCE CHEVAL BLANC",Valfréjus,
56829,,"Résidence Pierre  and  Vacances Le Peillon","RESIDENCE PIERRE  AND  VACANCES LE PEILLON","Méribel - Centre",
206772,,"Résidence Curling B1-b2","RESIDENCE CURLING B1-B2","Tignes - Val Claret",
247844,,"Résidence RÉsidence Les Flocons Du Soleil","RESIDENCE RESIDENCE LES FLOCONS DU SOLEIL","La Joue du Loup",
39172,,"Aparthotel Adagio Porte de Versailles","APARTHOTEL ADAGIO PORTE DE VERSAILLES",Paris,
1084354,,"Résidence Les Queyrettes","RESIDENCE LES QUEYRETTES",Puy-Saint-Vincent,
543334,,"Résidence Vignemale Bât 1","RESIDENCE VIGNEMALE BAT 1",Saint-Lary-Soulan,
744544,,"Résidence Les Mesanges","RESIDENCE LES MESANGES",Notre-Dame-de-Bellecombe,
51413,,"Résidence Les Marines de Port Canet","RESIDENCE LES MARINES DE PORT CANET",Canet-en-Roussillon,
157798,,"Studio 5 personnes avec vue montagne à Val Cenis","STUDIO 5 PERSONNES AVEC VUE MONTAGNE A VAL CENIS","Val Cenis",
93090,,"Résidence Vacancéole Appart Vacances Pyrénées 2000","RESIDENCE VACANCEOLE APPART VACANCES PYRENEES 2000","Pyrénées 2000",
524314,,"Résidence Val Blanc 1","RESIDENCE VAL BLANC 1","Arêches Beaufort",
192024,,"Résidence Le Lac Blanc","RESIDENCE LE LAC BLANC","Méribel - Mottaret",
364474,,"Résidence Diamant Ii","RESIDENCE DIAMANT II","Les 2 Alpes",
368844,,"Résidence La Maison Rose","RESIDENCE LA MAISON ROSE",Morzine,
641374,,"Résidence L08-tregastel","RESIDENCE L08-TREGASTEL",Trégastel,
12332,,"Résidence Les Chalets des Cîmes","RESIDENCE LES CHALETS DES CIMES","La Toussuire",
90089,,"Chalet Odalys Erika","CHALET ODALYS ERIKA","Les 2 Alpes",
564324,,"Résidence Origanes","RESIDENCE ORIGANES","Les Ménuires",
193156,,"Résidence Le Tetras","RESIDENCE LE TETRAS","La Norma",
613324,,"Résidence ""le Mireille""","RESIDENCE ""LE MIREILLE""","Le Grau-du-Roi",
741894,,"Résidence Aiguille Rouge","RESIDENCE AIGUILLE ROUGE","Arc 2000",
428504,,"Résidence Chaviere","RESIDENCE CHAVIERE",Valfréjus,
585814,,"Résidence Argonautes","RESIDENCE ARGONAUTES","Le Barcarès",
968034,,"Résidence Les Myosotis","RESIDENCE LES MYOSOTIS","Les Orres",
238464,,"Résidence Plan Soleil","RESIDENCE PLAN SOLEIL",Valloire,
51816,,"Résidence Neige d'or","RESIDENCE NEIGE D'OR","Tignes - Val Claret",
735034,,"Résidence Jannu","RESIDENCE JANNU","La Plagne - Plagne Centre",
585734,,"Résidence Marende Des Palombes 2","RESIDENCE MARENDE DES PALOMBES 2","Le Barcarès",
609194,,"Résidence Montreal I","RESIDENCE MONTREAL I","Le Pla d'Adet",
91345,7184,"Résidence Odalys Aqualia","RESIDENCE ODALYS AQUALIA",Balaruc-les-Bains,"DESTINATION ARCHIPEL DE THAU"
112884,,"Résidence Héraclée","RESIDENCE HERACLEE","Saint Tropez",
505134,3872,"Camping Club Le Littoral","CAMPING CLUB LE LITTORAL",Argelès-sur-Mer,ARGELES-SUR-MER
74847,7937,"Résidence Odalys Les Dunes du Soleil","RESIDENCE ODALYS LES DUNES DU SOLEIL","La Grande-Motte","LA GRANDE MOTTE"
860864,,"Résidence Arandelieres","RESIDENCE ARANDELIERES","Arc 1800",
1558,,"Résidence Odalys Le Hameau du Mottaret","RESIDENCE ODALYS LE HAMEAU DU MOTTARET","Méribel - Mottaret",
46717,,"Maison de Vacances La Croix-Valmer","MAISON DE VACANCES LA CROIX-VALMER","La Croix-Valmer",
557454,,"Résidence La Sapiniere","RESIDENCE LA SAPINIERE","Crest Voland",
193411,,"Résidence Hauts Lieux","RESIDENCE HAUTS LIEUX","Tignes - Le Lac / Le Lavachet",
604654,,"Résidence Le Clos Du Soleil","RESIDENCE LE CLOS DU SOLEIL",Saint-Pierre-la-Mer,
595734,,"Résidence Cyclades","RESIDENCE CYCLADES","Saint Cyprien - Pyrénées Orientales",
922634,,"Résidence Le Mouraillou","RESIDENCE LE MOURAILLOU","Les Angles - Pyrénées Orientales",
946834,,"Résidence 7i-le Grau Du Roi","RESIDENCE 7I-LE GRAU DU ROI","Le Grau-du-Roi",
88902,,"Résidence l'Adret","RESIDENCE L'ADRET","Serre Chevalier 1350 - Chantemerle",
52517,,"Résidence Le Mummery","RESIDENCE LE MUMMERY",Chamonix,
1082384,,"Résidence Les Marines De Gassin","RESIDENCE LES MARINES DE GASSIN",Gassin,
631424,,"Chalet Nightingale","CHALET NIGHTINGALE","Alpe d'Huez",
811824,,"Résidence Les Choucas","RESIDENCE LES CHOUCAS",Peisey-Vallandry,
268334,,"Résidence Amethyste","RESIDENCE AMETHYSTE","Saint-Gervais Mont-Blanc",
196046,,"Camping Les Mûriers","CAMPING LES MURIERS",Vendres-Plage,
790044,,"Résidence LES 3 GLACIERS","RESIDENCE LES 3 GLACIERS","La Plagne - Montchavin",
376384,,"Résidence Refuge Des Outalays C","RESIDENCE REFUGE DES OUTALAYS C","Le Grand-Bornand",
568104,,"Résidence La Combe Iv","RESIDENCE LA COMBE IV",Aussois,
74148,,"Le Domaine Lagrange de l'Eilen","LE DOMAINE LAGRANGE DE L'EILEN",Cavalaire-sur-Mer,
835384,,"Résidence Jardins D'astoria","RESIDENCE JARDINS D'ASTORIA","Narbonne Plage",
51573,,"Résidence Le Central Beach","RESIDENCE LE CENTRAL BEACH",Argelès-sur-Mer,
548824,,"Résidence Alizées (rés. Les)","RESIDENCE ALIZEES (RES. LES)","Marseillan Plage",
930014,,"Résidence Rose des Sables","RESIDENCE ROSE DES SABLES",Canet-en-Roussillon,
247524,,"Résidence RÉsidence Les Melezes Des Chaumattes","RESIDENCE RESIDENCE LES MELEZES DES CHAUMATTES","La Joue du Loup",
419274,,"Résidence Evelyn-morzine","RESIDENCE EVELYN-MORZINE",Morzine,
741564,,"Résidence Allee Des Dames","RESIDENCE ALLEE DES DAMES",Barcelonnette,
208549,,"Chalet Etienne","CHALET ETIENNE","Méribel - Les Allues",
1023484,,"Résidence Prariond A","RESIDENCE PRARIOND A","Tignes - Val Claret",
709474,,"Résidence ANDROMEDE","RESIDENCE ANDROMEDE","La Plagne - Belle Plagne",
564654,,"Résidence Jetay","RESIDENCE JETAY","Les Ménuires",
439234,,"Camping Sandaya Domaine de la Dragonnière","CAMPING SANDAYA DOMAINE DE LA DRAGONNIERE","Vias Plage",
501094,,"Résidence Lauzet","RESIDENCE LAUZET",Vars,
714124,,"Résidence Les Grandes Alpes","RESIDENCE LES GRANDES ALPES","La Clusaz",
742344,,"Résidence Grand Couchant-lannion","RESIDENCE GRAND COUCHANT-LANNION",Lannion,
528014,,"Résidence Le Pendwick Iii","RESIDENCE LE PENDWICK III","Le Grau-du-Roi",
525654,,"Résidence Sol Y Neou A","RESIDENCE SOL Y NEOU A","Le Pla d'Adet",
415314,,"Résidence Varet 3","RESIDENCE VARET 3","Arc 2000",
442044,,"Résidence Terrasses D'etigny","RESIDENCE TERRASSES D'ETIGNY","Luchon - Superbagnères",
65741,,"Résidence Galiote","RESIDENCE GALIOTE","Cogolin - Port Cogolin",
142949,,"Chalet Odalys Loutantin","CHALET ODALYS LOUTANTIN",Saint-Martin-de-Belleville,
570294,,"Résidence Bois Des Coqs","RESIDENCE BOIS DES COQS","Serre Chevalier 1350 - Chantemerle",
194332,,"COTES G","COTES G",Valmorel,
85787,,"Maison de Vacances Cogolin","MAISON DE VACANCES COGOLIN","Cogolin - Port Cogolin",
683774,,"Résidence Maison Vercors","RESIDENCE MAISON VERCORS",Villard-de-Lans,
885784,,"Résidence Palmes D'or","RESIDENCE PALMES D'OR","Les Contamines Montjoie",
862534,,"Résidence 6cdp27-le Barcares","RESIDENCE 6CDP27-LE BARCARES","Le Barcarès",
836904,,"Résidence Les Rhododendrons","RESIDENCE LES RHODODENDRONS",Châtel,
526254,,"Résidence Pic D'aret","RESIDENCE PIC D'ARET",Saint-Lary-Soulan,
645234,,"Résidence Bernascon","RESIDENCE BERNASCON","Aix Les Bains",
368564,,"Résidence Les Brebis","RESIDENCE LES BREBIS",Morzine,
524254,,"Chalets Des Eucherts","CHALETS DES EUCHERTS","La Rosière Montvalezan",
566754,,"Résidence Sapins 2","RESIDENCE SAPINS 2","Les 7 Laux - Prapoutel",
772544,,"Résidence Rosuel","RESIDENCE ROSUEL","Tignes - Le Lac / Le Lavachet",
101388,,"Résidence les Balcons de Belle Plagne","RESIDENCE LES BALCONS DE BELLE PLAGNE","La Plagne - Belle Plagne",
234964,,"Résidence Les Fermes Marines","RESIDENCE LES FERMES MARINES","Port Leucate",
419154,,"Résidence Domenget","RESIDENCE DOMENGET","Aix Les Bains",
126181,5299,"Camping Le Sainte Marie","CAMPING LE SAINTE MARIE","Sainte-Marie-la-Mer - Sainte-Marie Plage","PERPIGNAN MEDITERRANEE"
101211,,"Résidence Le Chamois Blanc","RESIDENCE LE CHAMOIS BLANC",Chamonix,
944764,,"Résidence As23183-le Grau Du Roi","RESIDENCE AS23183-LE GRAU DU ROI","Le Grau-du-Roi",
,,"Super G","SUPER G","Plan Checrouit -  Courmayeur",
556364,,2,2,"Aix Les Bains",
,2765,"Camping River","CAMPING RIVER","MEOLANS REVEL","VALLEE DE L'UBAYE"
,2926,"Hotel Les Barnieres","HOTEL LES BARNIERES",Guillestre,
473694,6291,"Camping Sandaya la Nublière","CAMPING SANDAYA LA NUBLIERE",Doussard,"SOURCES DU LAC D'ANNECY"
566564,,"Résidence Edelweiss 3","RESIDENCE EDELWEISS 3","Les 7 Laux - Prapoutel",
524944,,"Chalet La Cascade","CHALET LA CASCADE","Arêches Beaufort",
399404,,"Chalet D'or B","CHALET D'OR B","Mont de Lans",
663484,,"Résidence Résidence Tingitana","RESIDENCE RESIDENCE TINGITANA",Saint-Jean-de-Luz,
234684,,"Résidence Copacabana","RESIDENCE COPACABANA","Port Leucate",
418974,,"Résidence Vacancéole Grand Morillon","RESIDENCE VACANCEOLE GRAND MORILLON",Morillon,
234714,,"Résidence Les Nefs Des Sables","RESIDENCE LES NEFS DES SABLES","Port Leucate",
364864,,"Résidence Tyrol","RESIDENCE TYROL","Les 2 Alpes",
543314,,"Résidence Sainte Marie","RESIDENCE SAINTE MARIE",Saint-Lary-Soulan,
193472,,"Résidence Rond Point Des Pistes","RESIDENCE ROND POINT DES PISTES","Tignes - Val Claret",
753984,,"Résidence L'oustal","RESIDENCE L'OUSTAL","Les Orres",
525924,,"Résidence Ondine A","RESIDENCE ONDINE A",Saint-Lary-Soulan,
51274,,"Résidence Les Méridiennes","RESIDENCE LES MERIDIENNES",Gruissan,
789594,,"Résidence LES COTES","RESIDENCE LES COTES","La Plagne - Montchavin",
566094,,"Résidence Pelvoux","RESIDENCE PELVOUX","Les Ménuires",
205335,,"Résidence Schuss","RESIDENCE SCHUSS","Les Contamines Montjoie",
120287,,"Résidence Le Cristal des Glaces","RESIDENCE LE CRISTAL DES GLACES",Chamonix,
30984,,"Résidence Albaron","RESIDENCE ALBARON",Bessans,
869714,,"Résidence Aurette:neouvielle","RESIDENCE AURETTE:NEOUVIELLE",Saint-Lary-Soulan,
609534,,"Varazur L144","VARAZUR L144","Les Issambres",
187662,,"Résidence Eskival","RESIDENCE ESKIVAL","Val Thorens",
734514,,"Résidence L'equerre","RESIDENCE L'EQUERRE","La Plagne - Les Coches",
585994,,"Résidence Cap De Mer","RESIDENCE CAP DE MER","Le Barcarès",
160651,,CHAMOIS,CHAMOIS,"La Plagne - Plagne Aime 2000",
133839,,"Domaine du Grand Pin","DOMAINE DU GRAND PIN",Sainte-Maxime,
585274,,"Résidence Soleil Levant Ii","RESIDENCE SOLEIL LEVANT II","Le Barcarès",
563694,,"Chalet De Manou","CHALET DE MANOU",Saint-Martin-de-Belleville,
192016,,"Résidence Le Pramecou","RESIDENCE LE PRAMECOU","Tignes - Val Claret",
552994,,"Résidence Cimes Blanches","RESIDENCE CIMES BLANCHES","Courchevel 1650",
51116,,"Résidence Arena","RESIDENCE ARENA","La Grande-Motte",
254684,,"Résidence Le Valmorel","RESIDENCE LE VALMOREL",Valmorel,
500884,,"Résidence Bara 8-baratier","RESIDENCE BARA 8-BARATIER",Baratier,
897234,,"Résidence Le Hameau du Rivage","RESIDENCE LE HAMEAU DU RIVAGE","Saint Cyprien - Pyrénées Orientales",
239774,,"Chalets Du Galibier I","CHALETS DU GALIBIER I",Valloire,
52030,,"Résidence Arcelle","RESIDENCE ARCELLE","Val Thorens",
419944,6609,"Résidence Vacancéole Cabourg","RESIDENCE VACANCEOLE CABOURG","Les 2 Alpes","LES DEUX ALPES"
641924,,"Résidence Le Hameau","RESIDENCE LE HAMEAU","Les 2 Alpes",
818294,,"Résidence Hameau Des Aiguilles","RESIDENCE HAMEAU DES AIGUILLES",Albiez-Montrond,
928004,,"2 pièces confort - 2 à Aix Les Bains 60","2 PIECES CONFORT - 2 A AIX LES BAINS 60","Aix Les Bains",
192393,,"Camping Maïana Resort","CAMPING MAIANA RESORT","La Grande-Motte",
255634,,"Résidence Marches","RESIDENCE MARCHES",Valmorel,
237484,,"Résidence Rue De La Jonquiere","RESIDENCE RUE DE LA JONQUIERE","Port Leucate",
92565,,"Résidence Les Sirènes","RESIDENCE LES SIRENES",Sainte-Maxime,
861864,,"Résidence NEPTUNA","RESIDENCE NEPTUNA","Cap d'Agde",
377984,,"Résidence Le Galaxy - D3","RESIDENCE LE GALAXY - D3","Les Gets",
153663,,"Résidence Club MMV La Clé des Cimes","RESIDENCE CLUB MMV LA CLE DES CIMES","Arêches Beaufort",
596664,,"Résidence Rue Du Mirador","RESIDENCE RUE DU MIRADOR",Collioure,
563254,,"Résidence Les Biches","RESIDENCE LES BICHES",Châtel,
591614,,"Résidence Bastides De Guerrevieille","RESIDENCE BASTIDES DE GUERREVIEILLE",Sainte-Maxime,
52987,,"Résidence Les Mas de Gigaro","RESIDENCE LES MAS DE GIGARO","La Croix-Valmer",
280564,,"Résidence Balcon Orres","RESIDENCE BALCON ORRES","Les Orres",
111251,,"Résidence Les Voiliers","RESIDENCE LES VOILIERS",Canet-en-Roussillon,
1020454,,"Résidence Le Pluton","RESIDENCE LE PLUTON","Les 2 Alpes",
719094,,"Résidence Le Crey","RESIDENCE LE CREY","La Plagne - Montchavin",
739444,,"Résidence Jardin Alpin Bat A","RESIDENCE JARDIN ALPIN BAT A",Morillon,
608564,,"L68 Les Terrasses de la Mer","L68 LES TERRASSES DE LA MER","Les Issambres",
190896,,"Résidence Le Preyerand","RESIDENCE LE PREYERAND","Les Ménuires",
772524,,"Résidence Telemark","RESIDENCE TELEMARK","Tignes - Le Lac / Le Lavachet",
65508,,"Maison de Vacances Argelès sur Mer","MAISON DE VACANCES ARGELES SUR MER",Laroque-des-Albères,
198794,,"Résidence Les Edelweiss","RESIDENCE LES EDELWEISS",Vaujany,
36550,,"Résidence Pierre  and  Vacances Les Platanes","RESIDENCE PIERRE  AND  VACANCES LES PLATANES",Sainte-Maxime,
372514,,"Chalet KopÉrek","CHALET KOPEREK",Valloire,
376184,,"Résidence Refuge Des Outalays E","RESIDENCE REFUGE DES OUTALAYS E","Le Grand-Bornand",
209247,,"Camping Domaine Du Launay","CAMPING DOMAINE DU LAUNAY","Plouezec - Paimpol",
739764,1438,"Résidence Les Mouflons","RESIDENCE LES MOUFLONS",Morillon,"LE DEVOLUY"
,4780,"Hôtel la Bona Casa","HOTEL LA BONA CASA",Collioure,COLLIOURE
,5132,"Hôtel du Nord","HOTEL DU NORD","Centre-ville d'Annecy -  Annecy",
586054,,"Résidence Lydia Playa","RESIDENCE LYDIA PLAYA","Le Barcarès",
,2944,"Camping Du Lac Les Iscles","CAMPING DU LAC LES ISCLES",EYGLIERS,
,2719,"Hôtel La Montagne Fleurie","HOTEL LA MONTAGNE FLEURIE",Barèges,BAREGES
526454,,"Résidence Gentianes","RESIDENCE GENTIANES",Saint-Lary-Soulan,
622174,,"Résidence De La Mer","RESIDENCE DE LA MER","Le Grau-du-Roi",
72248,,"SOWELL RÉSIDENCES Pra Loup","SOWELL RESIDENCES PRA LOUP","Pra Loup",
500904,,"Résidence Valbel","RESIDENCE VALBEL",Risoul,
442854,,"Résidence Nogentil A","RESIDENCE NOGENTIL A","Courchevel 1850",
51182,,"Résidence Mare Nostrum","RESIDENCE MARE NOSTRUM","Cap d'Agde",
597794,,"Résidence Le Valrosiere","RESIDENCE LE VALROSIERE","La Rosière Montvalezan",
140652,,"Appartement 6 pers. à l'entrée du village","APPARTEMENT 6 PERS. A L'ENTREE DU VILLAGE",Saint-Sorlin-d'Arves,
761324,,"Résidence Grandes Platieres","RESIDENCE GRANDES PLATIERES","Tignes - Val Claret",
199558,,"Résidence Domaine du Préconil","RESIDENCE DOMAINE DU PRECONIL",Sainte-Maxime,
